"",Thu Oct 01 00:00:00 CDT 2015,Sun Nov 01 00:00:00 CDT 2015,Tue Dec 01 00:00:00 CST 2015,Fri Jan 01 00:00:00 CST 2016,Mon Feb 01 00:00:00 CST 2016,Tue Mar 01 00:00:00 CST 2016,Fri Apr 01 00:00:00 CDT 2016,Sun May 01 00:00:00 CDT 2016,Wed Jun 01 00:00:00 CDT 2016,Fri Jul 01 00:00:00 CDT 2016,Mon Aug 01 00:00:00 CDT 2016,Thu Sep 01 00:00:00 CDT 2016,Sat Oct 01 00:00:00 CDT 2016,Tue Nov 01 00:00:00 CDT 2016,Thu Dec 01 00:00:00 CST 2016,Sun Jan 01 00:00:00 CST 2017,Wed Feb 01 00:00:00 CST 2017,Wed Mar 01 00:00:00 CST 2017,Sat Apr 01 00:00:00 CDT 2017,Mon May 01 00:00:00 CDT 2017,Thu Jun 01 00:00:00 CDT 2017,Sat Jul 01 00:00:00 CDT 2017,Tue Aug 01 00:00:00 CDT 2017,Fri Sep 01 00:00:00 CDT 2017,Sun Oct 01 00:00:00 CDT 2017,Tue Oct 31 00:00:00 CDT 2017
"Wal-Mart Stores, Inc.",null,58.840000,61.299999,66.360001,66.339996,68.489998,66.870003,70.779999,73.019997,72.970001,71.440002,72.120003,70.019997,70.430000,69.120003,66.739998,70.930000,72.080002,75.180000,78.599998,75.680000,79.989998,78.070000,78.139999,86.949997,87.309998
Exxon Mobil Corporation,null,81.660004,77.949997,77.849998,80.150002,83.589996,88.400002,89.019997,93.739998,88.949997,87.139999,87.279999,83.320000,87.300003,90.260002,83.889999,81.320000,82.010002,81.650002,80.500000,80.730003,80.040001,76.330002,81.980003,83.540001,83.349998
McKesson Corporation,null,189.350006,197.229996,160.979996,155.619995,157.250000,167.820007,183.139999,186.649994,194.559998,184.619995,166.750000,127.169998,143.809998,146.250000,139.149994,150.130005,148.259995,138.289993,163.089996,164.539993,161.869995,149.309998,153.610001,135.020004,137.880005
UnitedHealth Group Incorporated,null,112.709999,117.639999,115.160004,119.099998,128.899994,131.679993,133.669998,141.199997,143.199997,136.050003,140.000000,141.330002,158.320007,160.039993,162.100006,165.380005,164.009995,174.880005,175.179993,185.419998,191.809998,198.899994,195.850006,209.389999,210.220001
CVS Health Corporation,null,94.089996,97.769997,96.589996,97.169998,103.730003,100.500000,96.449997,95.739998,92.720001,93.400002,88.989998,84.099998,76.889999,78.910004,78.809998,80.580002,78.500000,82.440002,76.830002,80.459999,79.930000,77.339996,81.320000,68.449997,68.529999
General Motors Company,null,36.200001,34.009998,29.639999,29.440001,31.430000,31.799999,31.280001,28.299999,31.540001,31.920000,31.770000,31.600000,34.529999,34.840000,36.610001,36.840000,35.360001,34.639999,33.930000,34.930000,35.980000,36.540001,40.380001,43.369999,42.980000
Ford Motor Company,null,14.330000,14.090000,11.940000,12.510000,13.500000,13.560000,13.490000,12.570000,12.660000,12.600000,12.070000,11.740000,11.960000,12.130000,12.360000,12.530000,11.640000,11.470000,11.120000,11.190000,11.220000,11.030000,11.970000,12.100000,12.270000
AT&T Inc.,null,33.669998,34.410000,36.060001,36.950001,39.169998,38.820000,39.150002,43.209999,43.290001,40.880001,40.610001,36.790001,38.630001,40.380001,42.160000,41.790001,41.549999,39.630001,38.529999,37.730000,39.000000,37.459999,39.169998,33.540001,33.650002
General Electric Company,null,29.940001,31.150000,29.100000,29.139999,31.790001,30.750000,30.230000,31.480000,31.139999,31.240000,29.620001,29.100000,30.760000,31.600000,29.700001,29.809999,29.799999,28.990000,27.379999,27.010000,25.610001,24.549999,24.180000,20.410000,20.160000
AmerisourceBergen Corporation,null,98.639999,103.709999,89.559998,86.620003,86.550003,85.099998,74.980003,79.320000,85.190002,86.970001,80.779999,70.320000,77.989998,78.190002,87.279999,91.510002,88.500000,82.050003,91.769997,94.529999,93.820000,80.250000,82.750000,76.930000,76.949997
