“,ticker,correlation
Essendant,ESND,-0.82
Facebook,FB,-0.81
Charter Communications,CHTR,-0.78
Assurant,AIZ,-0.77
eBay,EBAY,-0.76
JetBlue Airways,JBLU,-0.73
Masco,MAS,-0.73
Time Warner,TWX,-0.73
Microsoft,MSFT,-0.71
NiSource,NI,-0.69
CDW,CDW,-0.66
Fisher Scientific,TMO,-0.66
Harley-Davidson,HOG,-0.64
Southwest Airlines,LUV,-0.63
TravelCenters of America,TA,-0.62
Lam,LRCX,-0.61
Cisco Systems,CSCO,-0.6
American Financial,AFG,-0.58
Sysco,SYY,-0.57
Bank of New York,BK,-0.56
iHeartMedia,IHRT,-0.56
JPMorgan Chase,JPM,-0.56
Mondelez International,MDLZ,-0.56
American Electric Power,AEP,-0.54
Level 3 Communications,LVLT,-0.54
Priceline,PCLN,-0.54
Henry Schein,HSIC,-0.52
Motorola Solutions,MSI,-0.52
Raymond James Financial,RJF,-0.52
Ross Stores,ROST,-0.52
HRG,HRG,-0.51
Johnson & Johnson,JNJ,-0.5
Fiserv,FISV,-0.48
SYNNEX,SNX,-0.48
Ford,F,-0.47
American International,AIG,-0.46
Bank of America,BAC,-0.46
Macy's,M,-0.45
ABM Industries,ABM,-0.44
Cincinnati Financial,CINF,-0.44
Expedia,EXPE,-0.44
Consolidated Edison,ED,-0.43
Humana,HUM,-0.43
BorgWarner,BWA,-0.42
Amphenol,APH,-0.41
Darden Restaurants,DRI,-0.41
General Dynamics,GD,-0.41
Danaher,DHR,-0.4
AT&T,T,-0.39
EMCOR,EME,-0.39
General Electric,GE,-0.39
Netflix,NFLX,-0.39
Xcel Energy,XEL,-0.39
Citigroup,C,-0.38
Mosaic,MOS,-0.38
Northrop Grumman,NOC,-0.38
Oracle,ORCL,-0.38
BB&T,BBT,-0.37
Intel,INTC,-0.37
Kelly Services,KELYA,-0.37
Southern,SO,-0.37
Herc Holdings,HRI,-0.36
Mattel,MAT,-0.36
Symantec,SYMC,-0.36
Walt Disney,DIS,-0.36
Air Products and Chemicals,APD,-0.35
Fidelity National Financial,FNF,-0.35
Texas Instruments,TXN,-0.34
DaVita,DVA,-0.33
Eli Lilly,LLY,-0.33
Pepsico,PEP,-0.33
Valero Energy,VLO,-0.33
Aramark,ARMK,-0.32
Cognizant Technology Solutions,CTSH,-0.32
Dana,DAN,-0.32
Edison International,EIX,-0.32
Fidelity National Information Services,FIS,-0.32
Genuine Parts,GPC,-0.31
Huntsman,HUN,-0.31
Avery Dennison,AVY,-0.3
Procter & Gamble,PG,-0.3
Terex,TEX,-0.3
Baxter International,BAX,-0.29
Kimberly-Clark,KMB,-0.29
Automatic Data Processing,ADP,-0.28
Norfolk Southern,NSC,-0.28
US Bancorp,USB,-0.28
Celanese,CE,-0.27
NCR,NCR,-0.27
Old Republic International,ORI,-0.27
Philip Morris International,PM,-0.27
Bristol-Myers Squibb,BMY,-0.26
HP,HPQ,-0.26
Lincoln National,LNC,-0.26
Morgan Stanley,MS,-0.26
Travelers Companies,TRV,-0.26
Citizens Financial,CFG,-0.25
Energy Transfer Equity,ETE,-0.25
Exelon,EXC,-0.25
Jabil,JBL,-0.25
Abbott Laboratories,ABT,-0.24
Illinois Tool Works,ITW,-0.24
Lowe's Companies,LOW,-0.24
AGCO,AGCO,-0.23
Arrow Electronics,ARW,-0.23
Avon Products,AVP,-0.23
Honeywell International,HON,-0.23
Loews,L,-0.23
Wyndham Worldwide,WYN,-0.23
Dr Pepper Snapple,DPS,-0.22
DTE Energy,DTE,-0.22
Omnicom,OMC,-0.22
CBS,CBS,-0.21
Colgate-Palmolive,CL,-0.21
Kohl's,KSS,-0.21
PPG Industries,PPG,-0.21
United Parcel Service,UPS,-0.21
Arconic,ARNC,-0.2
Hartford,HIG,-0.2
SunTrust Banks,STI,-0.2
Boston Scientific,BSX,-0.19
CarMax,KMX,-0.19
Lear,LEA,-0.19
Mohawk Industries,MHK,-0.19
PNC Financial Services,PNC,-0.19
Rite Aid,RAD,-0.19
CMS Energy,CMS,-0.18
Lockheed Martin,LMT,-0.18
Marriott International,MAR,-0.18
O'Reilly Automotive,ORLY,-0.18
Pfizer,PFE,-0.18
PulteGroup,PHM,-0.18
Visteon,VC,-0.18
AutoNation,AN,-0.17
CenterPoint Energy,CNP,-0.17
Amgen,AMGN,-0.16
Marathon Petroleum,MPC,-0.16
Peabody Energy,BTU,-0.16
Phillips 66,PSX,-0.16
Regions Financial,RF,-0.16
Sanmina,SANM,-0.16
Weyerhaeuser,WY,-0.16
CH Robinson Worldwide,CHRW,-0.15
LifePoint Health,LPNT,-0.15
Reliance Steel & Aluminum,RS,-0.15
Sempra Energy,SRE,-0.15
Boeing,BA,-0.14
Emerson Electric,EMR,-0.14
L Brands,LB,-0.14
Live Nation Entertainment,LYV,-0.14
Prudential Financial,PRU,-0.14
BlackRock,BLK,-0.13
Navient,NAVI,-0.13
Principal Financial,PFG,-0.13
State Street,STT,-0.13
UGI,UGI,-0.13
Becton Dickinson,BDX,-0.12
Expeditors International of Washington,EXPD,-0.12
General Motors,GM,-0.12
Mastercard,MA,-0.12
Rockwell Automation,ROK,-0.12
Telephone and Data Systems,TDS,-0.12
Veritiv,VRTV,-0.12
Aflac,AFL,-0.11
Wells Fargo,WFC,-0.11
Allstate,ALL,-0.1
American Airlines,AAL,-0.1
Kellogg,K,-0.1
MetLife,MET,-0.1
Navistar International,NAV,-0.1
NetApp,NTAP,-0.1
Stryker,SYK,-0.1
Comcast,CMCSA,-0.09
Campbell Soup,CPB,-0.09
Commercial Metals,CMC,-0.09
Dick's Sporting Goods,DKS,-0.09
GameStop,GME,-0.09
